,id,preferredName,firstName,lastName,affiliation,coAuthors,articleCount,trends,bioParagraphs,publicTopic,terms,photoUrl
10,37087235120,Krishna Murthy Kattiyan Ramamoorthy,Krishna Murthy,Kattiyan Ramamoorthy,San Diego State University,[],1,"[{'year': '2019', 'numRecords': 1}]",,"Internet,game theory,multimedia communication,pricing,profitability,quality of experience,","[{'term': 'Internet', 'numRecords': 1}, {'term': 'game theory', 'numRecords': 1}, {'term': 'multimedia communication', 'numRecords': 1}, {'term': 'pricing', 'numRecords': 1}, {'term': 'profitability', 'numRecords': 1}, {'term': 'quality of experience', 'numRecords': 1}]",
11,37087233489,A. Asia,A.,Asia,"Tata Research Development and Design Center, India","[37087234587, 37085991361, 37085344369, 37671388800, 37087235159, 37072359200, 37667716900]",1,"[{'year': '2019', 'numRecords': 1}]",,"program diagnostics,program testing,program verification,reachability analysis,","[{'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'program verification', 'numRecords': 1}, {'term': 'reachability analysis', 'numRecords': 1}]",
12,37087230617,Lina Gong,Lina,Gong,Anhui University,"[37087233513, 37267454600, 37836069500, 37406542800, 37086803007, 37087235027]",1,"[{'year': '2019', 'numRecords': 1}]",,"cloud computing,scheduling,software performance evaluation,virtualisation,workflow management software,","[{'term': 'cloud computing', 'numRecords': 1}, {'term': 'scheduling', 'numRecords': 1}, {'term': 'software performance evaluation', 'numRecords': 1}, {'term': 'virtualisation', 'numRecords': 1}, {'term': 'workflow management software', 'numRecords': 1}]",
13,37087233757,Felipe Manzano,Felipe,Manzano,Trail of Bits,"[37087232148, 37086359353, 37085796004, 37072473300, 37265320100, 37086876228, 37087230659]",1,"[{'year': '2019', 'numRecords': 1}]",,"application program interfaces,cryptography,distributed databases,program testing,","[{'term': 'application program interfaces', 'numRecords': 1}, {'term': 'cryptography', 'numRecords': 1}, {'term': 'distributed databases', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}]",
14,37087234587,Mohammad Afzal,Mohammad,Afzal,"Tata Research Development and Design Center, India","[37087233489, 37085991361, 37085344369, 37671388800, 37087235159, 37072359200, 37667716900]",1,"[{'year': '2019', 'numRecords': 1}]",,"program diagnostics,program testing,program verification,reachability analysis,","[{'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'program verification', 'numRecords': 1}, {'term': 'reachability analysis', 'numRecords': 1}]",
15,37087231343,Zixin Li,Zixin,Li,Nanjing University,"[37085464508, 37086800214, 37086798379, 37087232542, 37086386512]",1,"[{'year': '2019', 'numRecords': 1}]",,"contracts,program testing,","[{'term': 'contracts', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}]",
16,37086798324,Xian Zhan,Xian,Zhan,The Hong Kong Polytechnic University,"[37417418500, 37086493430, 37085810260, 38235570100, 37086361676, 37086348773, 37086430256]",2,"[{'year': '2019', 'numRecords': 2}]",,"Android (operating system),mobile computing,smart phones,data privacy,invasive software,","[{'term': 'Android (operating system)', 'numRecords': 2}, {'term': 'mobile computing', 'numRecords': 2}, {'term': 'smart phones', 'numRecords': 2}, {'term': 'data privacy', 'numRecords': 1}, {'term': 'invasive software', 'numRecords': 1}]",
17,37086799392,Yijun Yu,Yijun,Yu,"The Open University, UK","[37086445465, 37086179761]",2,"[{'year': '2019', 'numRecords': 2}]",,"neural nets,pattern classification,Java,data mining,data structures,feature extraction,graph theory,invasive software,learning (artificial intelligence),program verification,program visualisation,programming languages,sorting,source code (software),trees (mathematics),","[{'term': 'neural nets', 'numRecords': 2}, {'term': 'pattern classification', 'numRecords': 2}, {'term': 'Java', 'numRecords': 1}, {'term': 'data mining', 'numRecords': 1}, {'term': 'data structures', 'numRecords': 1}, {'term': 'feature extraction', 'numRecords': 1}, {'term': 'graph theory', 'numRecords': 1}, {'term': 'invasive software', 'numRecords': 1}, {'term': 'learning (artificial intelligence)', 'numRecords': 1}, {'term': 'program verification', 'numRecords': 1}, {'term': 'program visualisation', 'numRecords': 1}, {'term': 'programming languages', 'numRecords': 1}, {'term': 'sorting', 'numRecords': 1}, {'term': 'source code (software)', 'numRecords': 1}, {'term': 'trees (mathematics)', 'numRecords': 1}]",
18,37086430256,Hao Zhou,Hao,Zhou,The Hong Kong Polytechnic University,"[37085888465, 37839769000, 37086457356, 37086141845, 37085516193, 37086446900, 37086171966, 37086425910, 37417418500, 37085539160, 37085412480, 38276900500, 37086493430, 37086004844, 37085810260, 37085422436, 38235570100, 37085775655, 37086798324, 37086448081, 37086348773]",5,"[{'year': '2018', 'numRecords': 2}, {'year': '2019', 'numRecords': 3}]","['Hao Zhou received the B.S. and M.S. degrees from the Nanjing University of Posts and Communications. He is currently pursuing the Ph.D. degree with the Department of Computing, The Hong Kong Polytechnic University. He was with PolyU as a Research Assistant from 2016 to 2018. His current research focuses on system security, mobile security, IoT security and software testing.']","Android (operating system),mobile computing,Java,program diagnostics,smart phones,data privacy,invasive software,learning (artificial intelligence),object-oriented programming,optimising compilers,program testing,resource allocation,security of data,virtual machines,","[{'term': 'Android (operating system)', 'numRecords': 3}, {'term': 'mobile computing', 'numRecords': 3}, {'term': 'Java', 'numRecords': 2}, {'term': 'program diagnostics', 'numRecords': 2}, {'term': 'smart phones', 'numRecords': 2}, {'term': 'data privacy', 'numRecords': 1}, {'term': 'invasive software', 'numRecords': 1}, {'term': 'learning (artificial intelligence)', 'numRecords': 1}, {'term': 'object-oriented programming', 'numRecords': 1}, {'term': 'optimising compilers', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'resource allocation', 'numRecords': 1}, {'term': 'security of data', 'numRecords': 1}, {'term': 'virtual machines', 'numRecords': 1}]",https://ieeexplore.ieee.org//mediastore_new/IEEE/content/freeimages/10206/8439094/8443386/hzhou-2866347-small.gif
19,37085991361,Avriti Chauhan,Avriti,Chauhan,"Tata Research Development and Design Center, India","[37087234587, 37087233489, 37085344369, 37671388800, 37087235159, 37072359200, 37667716900]",2,"[{'year': '2017', 'numRecords': 1}, {'year': '2019', 'numRecords': 1}]",,"formal verification,program diagnostics,program slicing,program testing,program verification,reachability analysis,safety-critical software,","[{'term': 'formal verification', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program slicing', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'program verification', 'numRecords': 1}, {'term': 'reachability analysis', 'numRecords': 1}, {'term': 'safety-critical software', 'numRecords': 1}]",
20,37087131850,Zhiwu Xu,Zhiwu,Xu,Shenzhen University,"[37086558866, 37086798862, 37086028307, 37552938700, 37087233282, 37087234551, 37087130609, 37087132108]",2,"[{'year': '2019', 'numRecords': 2}]","['Zhiwu Xu received the Ph.D. degree in computer science from University Paris Diderot–Paris 7 and the University of Chinese Academy of Sciences, under the joint cultivation, in 2013. He is currently an Assistant Professor with Shenzhen University. His research interests include in the area of program analysis and verification, type systems, software security, and machine learning.']","application program interfaces,data analysis,data handling,learning (artificial intelligence),neural nets,optimisation,pattern classification,regression analysis,","[{'term': 'application program interfaces', 'numRecords': 1}, {'term': 'data analysis', 'numRecords': 1}, {'term': 'data handling', 'numRecords': 1}, {'term': 'learning (artificial intelligence)', 'numRecords': 1}, {'term': 'neural nets', 'numRecords': 1}, {'term': 'optimisation', 'numRecords': 1}, {'term': 'pattern classification', 'numRecords': 1}, {'term': 'regression analysis', 'numRecords': 1}]",https://ieeexplore.ieee.org//mediastore_new/IEEE/content/freeimages/6287639/8600701/8935485/xu-2959032-small.gif
21,37087234357,Zijiang Yang,Zijiang,Yang,GuardStrike Inc.,"[37087231512, 37087233347, 37086961859, 37087232101, 37086955367]",1,"[{'year': '2019', 'numRecords': 1}]",,"concurrency control,multi-threading,program diagnostics,security of data,","[{'term': 'concurrency control', 'numRecords': 1}, {'term': 'multi-threading', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'security of data', 'numRecords': 1}]",
22,37085344369,Bharti Chimdyalwar,Bharti,Chimdyalwar,"Tata Research Development and Design Center, India","[37087234587, 37087233489, 37085991361, 37671388800, 37087235159, 37072359200, 37712305300, 37671385700, 37667716900]",3,"[{'year': '2015', 'numRecords': 1}, {'year': '2017', 'numRecords': 1}, {'year': '2019', 'numRecords': 1}]",,"program verification,formal verification,program control structures,program diagnostics,program slicing,program testing,reachability analysis,safety-critical software,","[{'term': 'program verification', 'numRecords': 2}, {'term': 'formal verification', 'numRecords': 1}, {'term': 'program control structures', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program slicing', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'reachability analysis', 'numRecords': 1}, {'term': 'safety-critical software', 'numRecords': 1}]",
23,37086961859,Ruijie Meng,Ruijie,Meng,"State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences; University of Chinese Academy of Sciences","[37087231512, 37306509600, 37087233347, 37087234357, 37087232101, 37086958809, 37086955367]",2,"[{'year': '2019', 'numRecords': 2}]",,"concurrency control,file servers,multi-threading,program diagnostics,program testing,scheduling,security of data,","[{'term': 'concurrency control', 'numRecords': 2}, {'term': 'file servers', 'numRecords': 1}, {'term': 'multi-threading', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'scheduling', 'numRecords': 1}, {'term': 'security of data', 'numRecords': 1}]",
24,37087230659,Mark Mossberg,Mark,Mossberg,Trail of Bits,"[37087232148, 37086359353, 37085796004, 37072473300, 37265320100, 37086876228, 37087233757]",1,"[{'year': '2019', 'numRecords': 1}]",,"application program interfaces,cryptography,distributed databases,program testing,","[{'term': 'application program interfaces', 'numRecords': 1}, {'term': 'cryptography', 'numRecords': 1}, {'term': 'distributed databases', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}]",
25,37087231355,Sangjun Kim,Sangjun,Kim,Samsung Electronics,"[37087231430, 37087230417, 37087231756, 37302009500]",1,"[{'year': '2019', 'numRecords': 1}]",,"embedded systems,program testing,","[{'term': 'embedded systems', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}]",
26,37087052320,Karim Jahed,Karim,Jahed,Queen's University,"[37087235225, 37087099020, 37086452162, 38523125100, 37299778400, 37085790415]",5,"[{'year': '2019', 'numRecords': 5}]",,"Unified Modeling Language,Internet of Things,finite state machines,formal specification,mobile robots,program compilers,program debugging,program diagnostics,program testing,program verification,software architecture,software engineering,software tools,transport protocols,","[{'term': 'Unified Modeling Language', 'numRecords': 4}, {'term': 'Internet of Things', 'numRecords': 1}, {'term': 'finite state machines', 'numRecords': 1}, {'term': 'formal specification', 'numRecords': 1}, {'term': 'mobile robots', 'numRecords': 1}, {'term': 'program compilers', 'numRecords': 1}, {'term': 'program debugging', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'program verification', 'numRecords': 1}, {'term': 'software architecture', 'numRecords': 1}, {'term': 'software engineering', 'numRecords': 1}, {'term': 'software tools', 'numRecords': 1}, {'term': 'transport protocols', 'numRecords': 1}]",
27,37087232542,Jiehui Xu,Jiehui,Xu,Nanjing University,"[37085464508, 37087231343, 37086800214, 37086798379, 37086386512]",1,"[{'year': '2019', 'numRecords': 1}]",,"contracts,program testing,","[{'term': 'contracts', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}]",
28,37086685979,Krishna Neupane,Krishna Prasad,Neupane,Rochester Institute of Technology,"[37087115821, 37086686719, 37272447600, 37087113152]",3,"[{'year': '2014', 'numRecords': 1}, {'year': '2019', 'numRecords': 2}]",,"software engineering,time series,data visualisation,emotion recognition,human factors,hybrid power systems,intelligent control,power grids,power system control,solar cells,solar power stations,synchronisation,","[{'term': 'software engineering', 'numRecords': 2}, {'term': 'time series', 'numRecords': 2}, {'term': 'data visualisation', 'numRecords': 1}, {'term': 'emotion recognition', 'numRecords': 1}, {'term': 'human factors', 'numRecords': 1}, {'term': 'hybrid power systems', 'numRecords': 1}, {'term': 'intelligent control', 'numRecords': 1}, {'term': 'power grids', 'numRecords': 1}, {'term': 'power system control', 'numRecords': 1}, {'term': 'solar cells', 'numRecords': 1}, {'term': 'solar power stations', 'numRecords': 1}, {'term': 'synchronisation', 'numRecords': 1}]",
29,37087235023,Junming Cao,Junming,Cao,Shanghai Jiao Tong University,"[37087227393, 37087231663, 37087226899, 37086964072, 37087234016]",1,"[{'year': '2019', 'numRecords': 1}]",,"graph theory,neural nets,query processing,question answering (information retrieval),software quality,source coding,","[{'term': 'graph theory', 'numRecords': 1}, {'term': 'neural nets', 'numRecords': 1}, {'term': 'query processing', 'numRecords': 1}, {'term': 'question answering (information retrieval)', 'numRecords': 1}, {'term': 'software quality', 'numRecords': 1}, {'term': 'source coding', 'numRecords': 1}]",
